127.0.0.1 - - [18/Aug/2022:16:25:53 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [18/Aug/2022:16:26:35 +0900] "GET /pm80/User/mypage/loginout/login.jsp HTTP/1.1" 200 1527
0:0:0:0:0:0:0:1 - - [18/Aug/2022:16:26:35 +0900] "GET /pm80/User/mypage/loginout/img/setting.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Aug/2022:16:26:38 +0900] "POST /pm80/User/mypage/loginout/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Aug/2022:16:26:39 +0900] "GET /pm80/User/mypage/home HTTP/1.1" 500 7018
0:0:0:0:0:0:0:1 - - [18/Aug/2022:16:27:21 +0900] "GET /pm80/Qna/qnaInfo/find.do HTTP/1.1" 200 4988
0:0:0:0:0:0:0:1 - - [18/Aug/2022:16:27:21 +0900] "GET /pm80/Qna/findqna/board.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Aug/2022:16:27:24 +0900] "GET /pm80/Qna/qnaInfo/selectNoQna.do?qnaNo=4 HTTP/1.1" 200 4366
0:0:0:0:0:0:0:1 - - [18/Aug/2022:16:27:24 +0900] "GET /pm80/Qna/findqna/selectNoQna.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Aug/2022:16:27:25 +0900] "POST /pm80/Qna/qnaInfo/modifyQna.do HTTP/1.1" 200 4181
0:0:0:0:0:0:0:1 - - [18/Aug/2022:16:27:25 +0900] "GET /pm80/Qna/qnaInfo/modifyQna.jsp HTTP/1.1" 200 4164
0:0:0:0:0:0:0:1 - - [18/Aug/2022:16:27:25 +0900] "GET /pm80/Qna/findqna/modify.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Aug/2022:16:27:39 +0900] "POST /pm80/Qna/qnaInfo/update.do HTTP/1.1" 200 3562
0:0:0:0:0:0:0:1 - - [18/Aug/2022:16:27:39 +0900] "GET /pm80/Qna/findqna/success.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Aug/2022:16:30:16 +0900] "GET /pm80/Qna/qnaInfo/find.do HTTP/1.1" 200 6522
0:0:0:0:0:0:0:1 - - [18/Aug/2022:16:30:19 +0900] "GET /pm80/Qna/qnaInfo/find.do HTTP/1.1" 200 6522
0:0:0:0:0:0:0:1 - - [18/Aug/2022:16:30:26 +0900] "GET /pm80/Qna/qnaInfo/find.do HTTP/1.1" 200 6522
0:0:0:0:0:0:0:1 - - [18/Aug/2022:16:30:26 +0900] "GET /pm80/assets/dist/css/bootstrap.min.css HTTP/1.1" 200 163881
0:0:0:0:0:0:0:1 - - [18/Aug/2022:16:30:26 +0900] "GET /pm80/Qna/qnacss/carousel.css HTTP/1.1" 200 3767
0:0:0:0:0:0:0:1 - - [18/Aug/2022:16:30:26 +0900] "GET /pm80/Qna/findqna/board.css HTTP/1.1" 200 1412
